Un. Neg.;Apelido Un. Neg.;Cód. de Barras;Produto;Estoque;Estoque Conf.;Média Venda Mensal;Estoque Final (Dias);Curva Qtd.;Compra Conf.;Transf. Conf.
08;CASTANHAL II;7898656390889;ABS LIFREE FRALDA CALCA C/20;7;7;10.332;35;A;0;0
11;CASTANHAL III;7898656390889;ABS LIFREE FRALDA CALCA C/20;13;19;28.668;20;A;6;0
06;SANTA ISABEL;7898656390889;ABS LIFREE FRALDA CALCA C/20;21;21;30;21;A;0;0
02;CAPANEMA;7898656390889;ABS LIFREE FRALDA CALCA C/20;17;17;19.668;26;B;0;0
19;CASTANHAL V;7898656390889;ABS LIFREE FRALDA CALCA C/20;20;20;23.001;26;B;0;0
05;CAPITAO POCO;7898656390889;ABS LIFREE FRALDA CALCA C/20;14;14;15;28;B;0;0
18;CASTANHAL IV;7898656390889;ABS LIFREE FRALDA CALCA C/20;15;15;15.333;29;B;0;0
12;ITAITUBA I;7898656390889;ABS LIFREE FRALDA CALCA C/20;11;11;6.666;50;B;0;0
07;ABAETETUBA II;7898656390889;ABS LIFREE FRALDA CALCA C/20;20;20;14.001;43;B;0;0
21;CAPANEMA 2;7898656390889;ABS LIFREE FRALDA CALCA C/20;8;8;4.332;55;B;0;0
09;BARCARENA;7898656390889;ABS LIFREE FRALDA CALCA C/20;7;7;3.333;63;C;0;0
01;ABAETETUBA I;7898656390889;ABS LIFREE FRALDA CALCA C/20;7;7;3.333;63;C;0;0
04;CAMETA I;7898656390889;ABS LIFREE FRALDA CALCA C/20;16;16;8.001;60;B;0;0
20;MÃE DO RIO;7898656390889;ABS LIFREE FRALDA CALCA C/20;9;9;3.333;81;B;0;0
22;PORTEL;7898656390889;ABS LIFREE FRALDA CALCA C/20;7;7;1.668;126;C;0;0
10;QUATRO BOCAS;7898656390889;ABS LIFREE FRALDA CALCA C/20;11;11;1.668;198;C;0;0
13;ITAITUBA II;7898656390889;ABS LIFREE FRALDA CALCA C/20;14;14;1.332;315;C;0;0
03;CASTANHAL I;7898656390889;ABS LIFREE FRALDA CALCA C/20;8;12;14.001;26;B;4;0
18;CASTANHAL IV;7898656391749;FR GER LIFREE CALCA EXTRA ABS G/XG C/16;0;36;95.334;18;A;36;0
04;CAMETA I;7898656391749;FR GER LIFREE CALCA EXTRA ABS G/XG C/16;24;40;63.333;19;A;16;0
06;SANTA ISABEL;7898656391749;FR GER LIFREE CALCA EXTRA ABS G/XG C/16;7;23;36.666;19;A;16;0
05;CAPITAO POCO;7898656391749;FR GER LIFREE CALCA EXTRA ABS G/XG C/16;23;35;52.668;20;A;12;0
19;CASTANHAL V;7898656391749;FR GER LIFREE CALCA EXTRA ABS G/XG C/16;0;30;45.333;20;A;30;0
11;CASTANHAL III;7898656391749;FR GER LIFREE CALCA EXTRA ABS G/XG C/16;0;16;24;20;A;16;0
03;CASTANHAL I;7898656391749;FR GER LIFREE CALCA EXTRA ABS G/XG C/16;0;28;42.999;20;A;28;0
08;CASTANHAL II;7898656391749;FR GER LIFREE CALCA EXTRA ABS G/XG C/16;0;12;16.668;22;A;12;0
