Cód. de Barras;Produto;Fabricante;Classificação Principal
7898947170077;"
MASCARA TRIPLA PROT BRANCA DESC CX 50 MEDIX";MEDIX;PRINCIPAL > VAREJO > DESCARTAVEIS
7898582291861; AGUA DE BELEZA SPRAY 120 ML;BELLA PHYTHUS;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7891058006075; CLORIDRATO DONEPEZILA 10MG C/30 CP (MED);MEDLEY IND. FARM-SIC;PRINCIPAL > GENERICO > GENERICO-CONTROLADO
7898582292547; GEL MELALEUCA FACIAL 30G;BELLA PHYTHUS;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
7909690029564; HAVAIANAS SLIM GLITTER ROSA 35/36;ALPARGATAS S/A;PRINCIPAL > VAREJO > VAREJO-HAVAIANAS
7896007547913; LENCO UMED HUGGIES C/48 PURO E NATURAL;KIMBERLY CLARK BRASIL IND E CO;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - LENÇO UMEDECIDO
7896235354901; LOCAO P/ MAOS PAIXAO BRIDGERTON 75G;COTY;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-HIDRATANTES
7898582292653; OLEO DE GIRASSOL DERSOL 500ML;BELLA PHYTHUS;PRINCIPAL > VAREJO > VAREJINHO
7898582291946; OLEO DE GIRASSOL DERSOL CREME 100MG;BELLA PHYTHUS;PRINCIPAL > VAREJO > VAREJINHO
3349668580859; PACO RABANNE KIT 50ML+GEL 100ML INVICTUS;PACO RABANNE PERFUMES LTDA;PRINCIPAL > PERFUMARIA > PERF-PERFUMES IMPORTADOS
3349668573141; PACO RABANNE KIT INVICTUS 100 ML + SHOWER GEL100 ML;PACO RABANNE PERFUMES LTDA;PRINCIPAL > PERFUMARIA > PERF-PERFUMES IMPORTADOS
584807; PASTA DE AMENDOIM COCONUT BELGA 500G C/ WHEYROCK;HYPERMARCAS S/A;PRINCIPAL > SUPLEMENTOS > SUPLE- DIVERSOS
7899706185844; PROT SOLAR ANTHELIOS ULTRA COVER FPS60 30G 3.0;LOREAL - LA ROCHE-POSAY;PRINCIPAL > PERFUMARIA > PERF-DERMOCOSMETICOS > DERM-PROT SOLAR
7893454714707;*NORTRIPTILINA 50MG C/30 CPS;DELTA INSTITUTO TERAPEUTICO  LTDA;PRINCIPAL > GENERICO > GENERICO-CONTROLADO
;,,,.,.;A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;,.,,..;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;,MB;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;,NM;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;-------------;ZNL NUTRITION PHARMA;PRINCIPAL > MARCAS EXCLUSIVAS > VITAMINAS EXCLUSIVAS > ZAN PHARMA / ZNL
;-272845;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;-315758;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;.;NESTLE BRASIL LTDA;PRINCIPAL > CONVENIENCIA > CONV-FORMULAS > CONV-FORMULAS-INFANTIL
;.,N;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;".,N;";USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;.,X.,MF123;USO INTERNO;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0;INTEGRALMEDICA SUPL NUTRICIONAIS LTDA;PRINCIPAL > SUPLEMENTO ESPORTIVOS > SUPLE- ESPORTIVOS - COQUETELEIRAS
;0  0;0;PRINCIPAL > GENERICO > GENERICO-RX
549660;0(A D);A DEFINIR;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
592321;0(A D)-59232;A DEFINIR;PRINCIPAL > PERFUMARIA > PERF-ORAL CARE > PERF-ORAL-FIO DENTAL
422406;0(COM);PERFUMES IMPORTADOS;PRINCIPAL > PERFUMARIA > PERF-PERFUMES NACIONAIS
60301;0(DIV);DIVCOM PHARMA;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-DOR E FEBRE
549752;0(DKT);DKT DO BRASIL;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
75008;0(EUR);EUROFARMA LAB-OL-REP-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-COLÍRIOS
132442;0(EXC);0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
;0(EXC)-2246;0;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
;0(EXC)-29847;0;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP/FR
;0(EXC)-31461;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
319218;0(EXC)-31921;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
321297;0(EXC)-32129;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
323864;0(EXC)-32386;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
336215;0(EXC)-33621;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
344241;0(EXC)-34424;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
354981;0(EXC)-35498;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
357951;0(EXC)-35795;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
371834;0(EXC)-37183;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
;0(EXC)-38270;0;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
;0(EXC)-38271;0;PRINCIPAL > PERFUMARIA > PERF-COSMETICOS > PERF-COSMETICO-LIMPEZA
387972;0(EXC)-38797;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
387989;0(EXC)-38798;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
394284;0(EXC)-39428;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
406246;0(EXC)-40624;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
410588;0(EXC)-41058;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
410595;0(EXC)-41059;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
412919;0(EXC)-41291;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
412926;0(EXC)-41292;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
418966;0(EXC)-41896;HYPERMARCAS S/A;PRINCIPAL > VAREJO > VAREJO-PRIMEIROS SOCORROS > ALGODÃO
;0(EXC)-43233;0;PRINCIPAL > CONVENIENCIA > CONV-ALIMENTOS > CONV-ALIMENTOS-SORVETE
437219;0(EXC)-43721;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
;0(EXC)-44331;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
447850;0(EXC)-44785;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
452816;0(EXC)-45281;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
462372;0(EXC)-46237;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
465670;0(EXC)-46567;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
482912;0(EXC)-48291;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
482967;0(EXC)-48296;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
483544;0(EXC)-48354;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
;0(EXC)-4876;HYPERMARCAS S/A;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-COLÍRIOS
510301;0(EXC)-51030;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
514538;0(EXC)-51453;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
514897;0(EXC)-51489;0;PRINCIPAL > PERFUMARIA > PERF-DESODORANTES > PERF-DESODORANTES-CREME
525473;0(EXC)-52547;0;PRINCIPAL > PERFUMARIA > PERF-INFANTIL - PUERICULTURA
529747;0(EXC)-52974;0;PRINCIPAL > PERFUMARIA > PERF-CAPILAR > PERF-CAPILAR-COLORAÇÃO
532402;0(EXC)-53240;0;PRINCIPAL > PERFUMARIA > PERF-ORAL CARE > PERF-ORAL-FIO DENTAL
546072;0(EXC)-54607;0;PRINCIPAL > PERFUMARIA > PERF-UNHAS-CUIDADOS UNHAS > PERF-UNHAS-BASE
;0(EXC)-54968;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
549707;0(EXC)-54970;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
549721;0(EXC)-54972;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
549738;0(EXC)-54973;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
549745;0(EXC)-54974;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
;0(EXC)-54979;0;PRINCIPAL > USO E CONSUMO > USO E CONSUMO
549974;0(EXC)-54997;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
549981;0(EXC)-54998;0;PRINCIPAL > PERFUMARIA > PERF-CUIDADO E PROTEÇÃO > PERF-CUIDADO-CUIDADO MASCULINO
